Zeitstempel;WT;Bezug in kW;Bezug in W;Bezug kW;Bezug in kWh;F_EVS;Bezug Netto in kWh;Bezug Netto in kWh2;F_EVS2;Residuallast in MW;FRL_max_day;FRL_max;FRL_average_day;FRL_average;RLCI_max_Bezug;RLCI_average_Bezug;RLCI_max;RLCI_average;EPEX Day Ahead;Endpreis dT Brutto dyn.;"""Bezugsklasse""";Kosten_Netto;Kosten_Brutto_GES dyn;Wel * Gmin (NETTO);Wel*Gmax (NETTO);Wel * Gmin (BRUTTO);Wel*Gmax (Brutto);RIB_DAY_NETTO_Bezug;RIB_DAY_NETTO_brutto(+-);RIB_DAY_BRUTTO_Netto(+-);vNE_EWS_NETTO;Endpreis dT+vNE Brutto dyn plus;Kosten_vNE_Netto;Kosten vNE Brutto;Kosten_GES_Brutto dyn plus;Wel * Gmin (NETTO)3;Wel*Gmax (NETTO)4;Wel * Gmin (BRUTTO)5;Wel*Gmax (BRUTTO)6;RIB_DAY_NETTO;RIB_DAY_NETTO_netto (+-);RIB_DAY_BRUTTO_netto (+-);WB aktiv (1)
01.07.2025 00:00;Di;0,0200;20,0;-0,0200;-0,0050;-0,00171;-0,0040;-0,0010;-0,00034; 34.702,70 ;0,65151;0,65131;1,0934;1,3047;-0,0011;-0,0022;-0,0002;-0,0004;11,128 ct/kWh;35,05 ct/kWh;B;0,0556 ct;0,1753 ct;0,0212 ct;0,2381 ct;0,1343 ct;0,3924 ct;;;;11,930 ct/kWh;38,723 ct/kWh;0,0597 ct;0,0710 ct;0,1936 ct;0,0239 ct;0,0722 ct;0,1372 ct;0,4107 ct;;;;0
01.07.2025 00:15;Di;0,0320;32,0;-0,0320;-0,0080;-0,00274;-0,0040;-0,0010;-0,00034; 33.801,90 ;;0,63440;;1,2709;-0,0017;-0,0035;-0,0002;-0,0004;11,128 ct/kWh;35,05 ct/kWh;B;0,0890 ct;0,2804 ct;0,0340 ct;0,3810 ct;0,2149 ct;0,6278 ct;;;;11,930 ct/kWh;38,723 ct/kWh;0,0954 ct;0,1136 ct;0,3098 ct;0,0382 ct;0,1154 ct;0,2195 ct;0,6572 ct;;;;0
01.07.2025 00:30;Di;0,0200;20,0;-0,0200;-0,0050;-0,00171;0,0120;0,0030;0,00144; 32.974,10 ;;0,61886;;1,2397;-0,0011;-0,0021;0,0009;0,0018;11,128 ct/kWh;35,05 ct/kWh;B;0,0556 ct;0,1753 ct;0,0212 ct;0,2381 ct;0,1343 ct;0,3924 ct;;;;11,930 ct/kWh;38,723 ct/kWh;0,0597 ct;0,0710 ct;0,1936 ct;0,0239 ct;0,0722 ct;0,1372 ct;0,4107 ct;;;;0
01.07.2025 00:45;Di;0,0200;20,0;-0,0200;-0,0050;-0,00171;0,0000;0,0000;0,00000; 32.428,20 ;;0,60862;;1,2192;-0,0010;-0,0021;0,0000;0,0000;11,128 ct/kWh;35,05 ct/kWh;B;0,0555 ct;0,1749 ct;0,0212 ct;0,2376 ct;0,1341 ct;0,3916 ct;;;;11,930 ct/kWh;38,723 ct/kWh;0,0595 ct;0,0708 ct;0,1932 ct;0,0238 ct;0,0720 ct;0,1369 ct;0,4099 ct;;;;0
01.07.2025 01:00;Di;0,0200;20,0;-0,0200;-0,0050;-0,00172;0,0000;0,0000;0,00000; 32.165,30 ;;0,60368;;1,2093;-0,0010;-0,0021;0,0000;0,0000;9,529 ct/kWh;33,15 ct/kWh;A;0,0477 ct;0,1661 ct;0,0213 ct;0,2386 ct;0,1346 ct;0,3932 ct;;;;4,770 ct/kWh;28,300 ct/kWh;0,0239 ct;0,0284 ct;0,1418 ct;0,0239 ct;0,0723 ct;0,1375 ct;0,4116 ct;;;;0
01.07.2025 01:15;Di;0,0160;16,0;-0,0160;-0,0040;-0,00137;-0,0040;-0,0010;-0,00035; 32.043,20 ;;0,60139;;1,2047;-0,0008;-0,0017;-0,0002;-0,0004;9,529 ct/kWh;33,15 ct/kWh;A;0,0382 ct;0,1329 ct;0,0170 ct;0,1910 ct;0,1077 ct;0,3147 ct;;;;4,770 ct/kWh;28,300 ct/kWh;0,0191 ct;0,0228 ct;0,1135 ct;0,0191 ct;0,0579 ct;0,1100 ct;0,3294 ct;;;;0
01.07.2025 01:30;Di;0,0239;23,9;-0,0239;-0,0060;-0,00205;0,0000;0,0000;0,00000; 31.583,40 ;;0,59276;;1,1874;-0,0012;-0,0024;0,0000;0,0000;9,529 ct/kWh;33,15 ct/kWh;A;0,0570 ct;0,1982 ct;0,0254 ct;0,2848 ct;0,1607 ct;0,4693 ct;;;;4,770 ct/kWh;28,300 ct/kWh;0,0285 ct;0,0339 ct;0,1692 ct;0,0285 ct;0,0863 ct;0,1641 ct;0,4912 ct;;;;0
01.07.2025 01:45;Di;0,0080;8,0;-0,0080;-0,0020;-0,00069;0,0000;0,0000;0,00000; 30.874,90 ;;0,57947;;1,1608;-0,0004;-0,0008;0,0000;0,0000;9,529 ct/kWh;33,15 ct/kWh;A;0,0192 ct;0,0666 ct;0,0085 ct;0,0957 ct;0,0540 ct;0,1577 ct;;;;4,770 ct/kWh;28,300 ct/kWh;0,0096 ct;0,0114 ct;0,0569 ct;0,0096 ct;0,0290 ct;0,0552 ct;0,1651 ct;;;;0
01.07.2025 02:00;Di;0,0240;24,0;-0,0240;-0,0060;-0,00205;-0,0040;-0,0010;-0,00035; 30.351,60 ;;0,56964;;1,1411;-0,0012;-0,0023;-0,0002;-0,0004;8,910 ct/kWh;32,41 ct/kWh;A;0,0535 ct;0,1945 ct;0,0255 ct;0,2857 ct;0,1612 ct;0,4709 ct;;;;4,770 ct/kWh;27,563 ct/kWh;0,0286 ct;0,0341 ct;0,1654 ct;0,0286 ct;0,0866 ct;0,1647 ct;0,4929 ct;;;;0
01.07.2025 02:15;Di;0,0160;16,0;-0,0160;-0,0040;-0,00137;0,0040;0,0010;0,00048; 30.541,30 ;;0,57320;;1,1483;-0,0008;-0,0016;0,0003;0,0006;8,910 ct/kWh;32,41 ct/kWh;A;0,0357 ct;0,1300 ct;0,0170 ct;0,1910 ct;0,1077 ct;0,3147 ct;;;;4,770 ct/kWh;27,563 ct/kWh;0,0191 ct;0,0228 ct;0,1105 ct;0,0191 ct;0,0579 ct;0,1100 ct;0,3294 ct;;;;0
