Datum und Uhrzeit;Energie | PowerMeter;Energie | Symo GEN24 10.0 Plus;Energie | Wattpilot_;Direkt verbraucht;Energie aus Batterie bezogen;Energie in Batterie gespeichert;Energie ins Netz eingespeist;Energie vom Netz bezogen;PV Produktion;Verbrauch;Energie vom Netz an Wattpilot;Energie von Batterie an Wattpilot;Energie von PV an Wattpilot;Batteriespannung;Batteriestrom;Batterietemperatur minimum;State of Charge;Eingestellte Stromstärke | PowerMeter;Eingestellte Stromstärke | Symo GEN24 10.0 Plus;Eingestellte Stromstärke | Wattpilot_;Energie Wattpilot | PowerMeter;Energie Wattpilot | Symo GEN24 10.0 Plus;Energie Wattpilot | Wattpilot_;Energie Ohmpilot;Temperatur Ohmpilot;Energie ins Netz eingespeist | PowerMeter;Energie ins Netz eingespeist | Symo GEN24 10.0 Plus;Energie ins Netz eingespeist | Wattpilot_;Energie vom Netz bezogen | PowerMeter;Energie vom Netz bezogen | Symo GEN24 10.0 Plus;Energie vom Netz bezogen | Wattpilot_
[dd.MM.yyyy HH:mm];[Wh];[Wh];[Wh];[Wh];[Wh];[Wh];[Wh];[Wh];[Wh];[Wh];[Wh];[Wh];[Wh];[V];[A];[°C];[%];[A];[A];[A];[Wh];[Wh];[Wh];[Wh];[°C];[Wh];[Wh];[Wh];[Wh];[Wh]
01.07.2024 00:00;n/a;  24,78038;n/a;   0,00   ;  27,86   ;   0,00   ;   0,00   ;   0,00   ;   0,00   ;  27,86   ;   0,00   ;   0,00   ;   0,00   ; 424,30   ;-   0,70   ;  18,00   ;  72,60   ;n/a;n/a;  16,00   ;n/a;n/a;   0,00   ;   0,00   ;  57,20   ;   0,00   ;n/a;n/a;   0,00   ;n/a;n/a
01.07.2024 00:05;n/a;  27,41556;n/a;   0,00   ;  28,57   ;   0,00   ;   0,00   ;   1,99   ;   0,00   ;  30,56   ;   0,00   ;   0,00   ;   0,00   ; 423,90   ;-   0,70   ;  18,00   ;  72,30   ;n/a;n/a;  16,00   ;n/a;n/a;   0,00   ;   0,00   ;  57,20   ;   2,00   ;n/a;n/a;   2,00   ;n/a;n/a
01.07.2024 00:10;n/a;  26,62066;n/a;   0,00   ;  27,83   ;   0,00   ;   0,00   ;   1,99   ;   0,00   ;  29,81   ;   0,00   ;   0,00   ;   0,00   ; 423,90   ;-   1,10   ;  18,00   ;  72,00   ;n/a;n/a;  16,00   ;n/a;n/a;   0,00   ;   0,00   ;  57,10   ;   2,00   ;n/a;n/a;   2,00   ;n/a;n/a
01.07.2024 00:15;n/a;  30,46356;n/a;   0,00   ;  32,66   ;   0,00   ;   0,00   ;   1,00   ;   0,00   ;  33,66   ;   0,00   ;   0,00   ;   0,00   ; 423,90   ;-   0,80   ;  18,00   ;  71,60   ;n/a;n/a;  16,00   ;n/a;n/a;   0,00   ;   0,00   ;  57,10   ;   1,00   ;n/a;n/a;   1,00   ;n/a;n/a
01.07.2024 00:20;n/a;  32,05347;n/a;   0,00   ;  33,35   ;   0,00   ;   0,00   ;   1,99   ;   0,00   ;  35,34   ;   0,00   ;   0,00   ;   0,00   ; 423,50   ;-   0,90   ;  18,00   ;  71,20   ;n/a;n/a;  16,00   ;n/a;n/a;   0,00   ;   0,00   ;  57,10   ;   2,00   ;n/a;n/a;   2,00   ;n/a;n/a
01.07.2024 00:25;n/a;  32,48463;n/a;   0,00   ;  34,70   ;   0,00   ;   0,00   ;   1,99   ;   0,00   ;  36,69   ;   0,00   ;   0,00   ;   0,00   ; 423,50   ;-   0,50   ;  18,00   ;  70,90   ;n/a;n/a;  16,00   ;n/a;n/a;   0,00   ;   0,00   ;  57,10   ;   1,00   ;n/a;n/a;   2,00   ;n/a;n/a
01.07.2024 00:30;n/a;  34,80727;n/a;   0,00   ;  37,07   ;   0,00   ;   0,00   ;   2,00   ;   0,00   ;  39,07   ;   0,00   ;   0,00   ;   0,00   ; 423,50   ;-   0,90   ;  18,00   ;  70,50   ;n/a;n/a;  16,00   ;n/a;n/a;   0,00   ;   0,00   ;  57,10   ;   1,00   ;n/a;n/a;   2,00   ;n/a;n/a
01.07.2024 00:35;n/a;  31,8842 ;n/a;   0,00   ;  33,10   ;   0,00   ;   0,00   ;   1,99   ;   0,00   ;  35,09   ;   0,00   ;   0,00   ;   0,00   ; 423,50   ;-   0,80   ;  18,00   ;  70,10   ;n/a;n/a;  16,00   ;n/a;n/a;   0,00   ;   0,00   ;  57,10   ;   2,00   ;n/a;n/a;   2,00   ;n/a;n/a
01.07.2024 00:40;n/a;  26,91229;n/a;   0,00   ;  30,06   ;   0,00   ;   0,00   ;   0,00   ;   0,00   ;  30,06   ;   0,00   ;   0,00   ;   0,00   ; 423,50   ;-   0,60   ;  18,00   ;  69,80   ;n/a;n/a;  16,00   ;n/a;n/a;   0,00   ;   0,00   ;  57,10   ;   0,00   ;n/a;n/a;   0,00   ;n/a;n/a
