Zeitstempel;Bezug in kW;Bezug in W;Bezug kW;Bezug in kWh;F_EVS;Bezug Netto in kWh;Bezug Netto in kWh2;F_EVS2;RL in MW;FRL_max_day;FRL_max;FRL_average_day;FRL_average;RLCI_max_Bezug;RLCI_average_Bezug;RLCI_max;RLCI_average;EPEX Day Ahead;Endpreis dT Brutto;Kosten_Netto;Kosten_Brutto;Wel * Gmin (NETTO);Wel*Gmax (NETTO);Wel * Gmin (BRUTTO);Wel*Gmax (Brutto);RIB_DAY_NETTO_Bezug;RIB_DAY_NETTO_brutto(+-);RIB_DAY_BRUTTO_Netto(+-);vNE_EWS_NETTO;Endpreis dT+vNE Brutto;Kosten_vNE_Netto;Kosten vNE Brutto;Kosten_GES_Brutto;Wel * Gmin (NETTO)3;Wel*Gmax (NETTO)4;Wel * Gmin (BRUTTO)5;Wel*Gmax (BRUTTO)6;RIB_DAY_NETTO;RIB_DAY_NETTO_netto (+-);RIB_DAY_BRUTTO_netto (+-)
24.08.2025 00:00;0,024363702;24,36370187;-0,0244;-0,006090925468449250000;-0,0079;-0,007111983;-0,001777996;-0,002306838;28972;;0,54065;;1,0713;-0,0043;-0,0085;-0,0012;-0,0025;10,050 ct/kWh;33,77 ct/kWh;0,0612 ct;0,2057 ct;-0,0045 ct;0,0715 ct;0,1275 ct;0,2179 ct;;;;;;;;;;;;;;;
24.08.2025 00:15;0,002040736;2,040735867;-0,0020;-0,000510183966719634000;-0,0007;-0,00048808;-0,00012202;-0,000158313;28849,1;;0,53835;;1,0668;-0,0004;-0,0007;-0,0001;-0,0002;10,050 ct/kWh;33,77 ct/kWh;0,0051 ct;0,0172 ct;-0,0004 ct;0,0060 ct;0,0107 ct;0,0183 ct;;;;;;;;;;;;;;;
24.08.2025 00:30;0,001074074;1,074074;-0,0011;-0,000268518500016161000;-0,0003;-0,000714763;-0,000178691;-0,00023184;28919,8;;0,53967;;1,0694;-0,0002;-0,0004;-0,0001;-0,0002;10,050 ct/kWh;33,77 ct/kWh;0,0027 ct;0,0091 ct;-0,0002 ct;0,0031 ct;0,0056 ct;0,0096 ct;;;;;;;;;;;;;;;
24.08.2025 00:45;0,000363426;0,363426001;-0,0004;-0,000090856500296158500;-0,0001;0,000105564;2,63911E-05;1,2921E-05;28348,7;;0,52902;;1,0483;-0,0001;-0,0001;0,0000;0,0000;10,050 ct/kWh;33,77 ct/kWh;0,0009 ct;0,0031 ct;-0,0001 ct;0,0011 ct;0,0019 ct;0,0033 ct;;;;;;;;;;;;;;;
24.08.2025 01:00;0,001872685;1,872685098;-0,0019;-0,000468171274563981000;-0,0006;-0,001067587;-0,000266897;-0,000346282;27794,4;;0,51867;;1,0278;-0,0003;-0,0006;-0,0002;-0,0004;9,513 ct/kWh;33,13 ct/kWh;0,0045 ct;0,0155 ct;-0,0003 ct;0,0055 ct;0,0098 ct;0,0167 ct;;;;;;;;;;;;;;;
24.08.2025 01:15;0,006581018;6,581018431;-0,0066;-0,001645254607782110000;-0,0021;-0,005737398;-0,001434349;-0,001860979;27519;;0,51353;;1,0176;-0,0011;-0,0022;-0,0010;-0,0019;9,513 ct/kWh;33,13 ct/kWh;0,0157 ct;0,0545 ct;-0,0012 ct;0,0193 ct;0,0344 ct;0,0589 ct;;;;;;;;;;;;;;;
24.08.2025 01:30;0,004435493;4,435492538;-0,0044;-0,001108873134591330000;-0,0014;-0,004037655;-0,001009414;-0,001309651;27711,1;;0,51712;;1,0247;-0,0007;-0,0015;-0,0007;-0,0013;9,513 ct/kWh;33,13 ct/kWh;0,0105 ct;0,0367 ct;-0,0008 ct;0,0130 ct;0,0232 ct;0,0397 ct;;;;;;;;;;;;;;;
24.08.2025 01:45;0,002611759;2,611758598;-0,0026;-0,000652939649600641000;-0,0008;-9,83698E-05;-2,45924E-05;-3,19072E-05;28283,2;;0,52779;;1,0459;-0,0004;-0,0009;0,0000;0,0000;9,513 ct/kWh;33,13 ct/kWh;0,0062 ct;0,0216 ct;-0,0005 ct;0,0077 ct;0,0137 ct;0,0234 ct;;;;;;;;;;;;;;;
24.08.2025 02:00;0,002769646;2,769645866;-0,0028;-0,000692411466469272000;-0,0009;-0,002193857;-0,000548464;-0,000711598;27573,3;;0,51455;;1,0196;-0,0005;-0,0009;-0,0004;-0,0007;9,441 ct/kWh;33,05 ct/kWh;0,0065 ct;0,0229 ct;-0,0005 ct;0,0081 ct;0,0145 ct;0,0248 ct;;;;;;;;;;;;;;;
24.08.2025 02:15;0,003700345;3,700344804;-0,0037;-0,000925086200965437000;-0,0012;-0,003201207;-0,000800302;-0,001038342;27719,3;;0,51727;;1,0250;-0,0006;-0,0012;-0,0005;-0,0011;9,441 ct/kWh;33,05 ct/kWh;0,0087 ct;0,0306 ct;-0,0007 ct;0,0109 ct;0,0194 ct;0,0331 ct;;;;;;;;;;;;;;;
24.08.2025 02:30;0,001912239;1,912239333;-0,0019;-0,000478059833310764000;-0,0006;-0,001346568;-0,000336642;-0,000436772;27633,2;;0,51566;;1,0218;-0,0003;-0,0006;-0,0002;-0,0004;9,441 ct/kWh;33,05 ct/kWh;0,0045 ct;0,0158 ct;-0,0004 ct;0,0056 ct;0,0100 ct;0,0171 ct;;;;;;;;;;;;;;;
24.08.2025 02:45;0,006518543;6,518543328;-0,0065;-0,001629635831972060000;-0,0021;-0,005596514;-0,001399128;-0,001815282;27652,3;;0,51602;;1,0225;-0,0011;-0,0022;-0,0009;-0,0019;9,441 ct/kWh;33,05 ct/kWh;0,0154 ct;0,0539 ct;-0,0012 ct;0,0191 ct;0,0341 ct;0,0583 ct;;;;;;;;;;;;;;;
24.08.2025 03:00;0,00410835;4,108349639;-0,0041;-0,001027087409780160000;-0,0013;-0,003577198;-0,000894299;-0,001160298;27341,8;;0,51023;;1,0111;-0,0007;-0,0013;-0,0006;-0,0012;9,213 ct/kWh;32,78 ct/kWh;0,0095 ct;0,0337 ct;-0,0008 ct;0,0120 ct;0,0215 ct;0,0367 ct;;;;;;;;;;;;;;;
24.08.2025 03:15;0,004245856;4,245855832;-0,0042;-0,001061463957948670000;-0,0014;-0,003779852;-0,000944963;-0,001226031;27035,5;;0,50451;;0,9997;-0,0007;-0,0014;-0,0006;-0,0012;9,213 ct/kWh;32,78 ct/kWh;0,0098 ct;0,0348 ct;-0,0008 ct;0,0125 ct;0,0222 ct;0,0380 ct;;;;;;;;;;;;;;;
24.08.2025 03:30;0,004125623;4,125623;-0,0041;-0,001031405749985290000;-0,0013;-0,001746304;-0,000436576;-0,00056643;26906,5;;0,50210;;0,9950;-0,0007;-0,0013;-0,0003;-0,0006;9,213 ct/kWh;32,78 ct/kWh;0,0095 ct;0,0338 ct;-0,0008 ct;0,0121 ct;0,0216 ct;0,0369 ct;;;;;;;;;;;;;;;
24.08.2025 03:45;0,004417824;4,417824004;-0,0044;-0,001104456001073540000;-0,0014;-0,003568478;-0,00089212;-0,001157469;26912,1;;0,50221;;0,9952;-0,0007;-0,0014;-0,0006;-0,0012;9,213 ct/kWh;32,78 ct/kWh;0,0102 ct;0,0362 ct;-0,0008 ct;0,0130 ct;0,0231 ct;0,0395 ct;;;;;;;;;;;;;;;
24.08.2025 04:00;0,006863246;6,863245666;-0,0069;-0,001715811416435310000;-0,0022;-0,006471105;-0,001617776;-0,002098964;27117,2;;0,50603;;1,0028;-0,0011;-0,0022;-0,0011;-0,0021;9,120 ct/kWh;32,66 ct/kWh;0,0156 ct;0,0560 ct;-0,0013 ct;0,0201 ct;0,0359 ct;0,0614 ct;;;;;;;;;;;;;;;
24.08.2025 04:15;0,004642903;4,642903332;-0,0046;-0,001160725833114520000;-0,0015;-0,004091131;-0,001022783;-0,001326997;26913,7;;0,50224;;0,9952;-0,0008;-0,0015;-0,0007;-0,0013;9,120 ct/kWh;32,66 ct/kWh;0,0106 ct;0,0379 ct;-0,0009 ct;0,0136 ct;0,0243 ct;0,0415 ct;;;;;;;;;;;;;;;
24.08.2025 04:30;0,004844721;4,844721335;-0,0048;-0,001211180333733830000;-0,0016;0,011188139;0,002797035;0,001369417;26877;;0,50155;;0,9939;-0,0008;-0,0016;0,0007;0,0014;9,120 ct/kWh;32,66 ct/kWh;0,0110 ct;0,0396 ct;-0,0009 ct;0,0142 ct;0,0253 ct;0,0433 ct;;;;;;;;;;;;;;;
24.08.2025 04:45;0,004441571;4,441570933;-0,0044;-0,001110392733350280000;-0,0014;-0,003947134;-0,000986784;-0,00128029;26679,5;;0,49787;;0,9866;-0,0007;-0,0014;-0,0006;-0,0013;9,120 ct/kWh;32,66 ct/kWh;0,0101 ct;0,0363 ct;-0,0008 ct;0,0130 ct;0,0232 ct;0,0397 ct;;;;;;;;;;;;;;;
24.08.2025 05:00;0,002685606;2,685606;-0,0027;-0,000671401500028442000;-0,0009;-0,001438662;-0,000359665;-0,000466643;26790,8;;0,49994;;0,9907;-0,0004;-0,0009;-0,0002;-0,0005;9,097 ct/kWh;32,64 ct/kWh;0,0061 ct;0,0219 ct;-0,0005 ct;0,0079 ct;0,0140 ct;0,0240 ct;;;;;;;;;;;;;;;
24.08.2025 05:15;0,00163086;1,630860003;-0,0016;-0,000407715000735042000;-0,0005;-0,000560999;-0,00014025;-0,000181965;26901,4;;0,50201;;0,9948;-0,0003;-0,0005;-0,0001;-0,0002;9,097 ct/kWh;32,64 ct/kWh;0,0037 ct;0,0133 ct;-0,0003 ct;0,0048 ct;0,0085 ct;0,0146 ct;;;;;;;;;;;;;;;
24.08.2025 05:30;0,002086805;2,086805333;-0,0021;-0,000521701333350108000;-0,0007;-0,001762038;-0,00044051;-0,000571534;27282,5;;0,50912;;1,0089;-0,0003;-0,0007;-0,0003;-0,0006;9,097 ct/kWh;32,64 ct/kWh;0,0047 ct;0,0170 ct;-0,0004 ct;0,0061 ct;0,0109 ct;0,0187 ct;;;;;;;;;;;;;;;
24.08.2025 05:45;0,000991898;0,991897999;-0,0010;-0,000247974499856974000;-0,0003;-0,000367771;-9,19427E-05;-0,00011929;27021;;0,50424;;0,9992;-0,0002;-0,0003;-0,0001;-0,0001;9,097 ct/kWh;32,64 ct/kWh;0,0023 ct;0,0081 ct;-0,0002 ct;0,0029 ct;0,0052 ct;0,0089 ct;;;;;;;;;;;;;;;
24.08.2025 06:00;0,001685897;1,685897333;-0,0017;-0,000421474333173822000;-0,0005;-0,000419026;-0,000104756;-0,000135915;26674,9;;0,49778;;0,9864;-0,0003;-0,0005;-0,0001;-0,0001;9,000 ct/kWh;32,52 ct/kWh;0,0038 ct;0,0137 ct;-0,0003 ct;0,0049 ct;0,0088 ct;0,0151 ct;;;;;;;;;;;;;;;
