Datum (MEZ),Residuallast
,Leistung (MW)
2025-01-01T00:00+01:00,13020.1
2025-01-01T00:15+01:00,12098.9
2025-01-01T00:30+01:00,12198.1
2025-01-01T00:45+01:00,12100.7
2025-01-01T01:00+01:00,11688.9
2025-01-01T01:15+01:00,10921.2
2025-01-01T01:30+01:00,10760.1
2025-01-01T01:45+01:00,10400.1
2025-01-01T02:00+01:00,9780.3
2025-01-01T02:15+01:00,9274.2
2025-01-01T02:30+01:00,9341.9
2025-01-01T02:45+01:00,9231.7
2025-01-01T03:00+01:00,10352.8
2025-01-01T03:15+01:00,10513.8
2025-01-01T03:30+01:00,9814.4
2025-01-01T03:45+01:00,9533.5
2025-01-01T04:00+01:00,9236.6
2025-01-01T04:15+01:00,9471.6
2025-01-01T04:30+01:00,9171.5
2025-01-01T04:45+01:00,8821.2
2025-01-01T05:00+01:00,9275.9
2025-01-01T05:15+01:00,9121.1
2025-01-01T05:30+01:00,8970.5
2025-01-01T05:45+01:00,9015.9
2025-01-01T06:00+01:00,7003.7
2025-01-01T06:15+01:00,6767.9
2025-01-01T06:30+01:00,6700.2
2025-01-01T06:45+01:00,6279.5
2025-01-01T07:00+01:00,5964
2025-01-01T07:15+01:00,6179.3
2025-01-01T07:30+01:00,6071.3
2025-01-01T07:45+01:00,6237.3
2025-01-01T08:00+01:00,6861.9
2025-01-01T08:15+01:00,7039.2
2025-01-01T08:30+01:00,6911.1
2025-01-01T08:45+01:00,6608.4
2025-01-01T09:00+01:00,7342.3
2025-01-01T09:15+01:00,7160.9
2025-01-01T09:30+01:00,6780.2
2025-01-01T09:45+01:00,6463.5
2025-01-01T10:00+01:00,4965.7
2025-01-01T10:15+01:00,3993
2025-01-01T10:30+01:00,3450.2
2025-01-01T10:45+01:00,3239.5
2025-01-01T11:00+01:00,3086
2025-01-01T11:15+01:00,3164.9
2025-01-01T11:30+01:00,3249.2
2025-01-01T11:45+01:00,3192
2025-01-01T12:00+01:00,2739.1
2025-01-01T12:15+01:00,2122.9
2025-01-01T12:30+01:00,1866.8
2025-01-01T12:45+01:00,2196
2025-01-01T13:00+01:00,1402.3
2025-01-01T13:15+01:00,715.9
2025-01-01T13:30+01:00,770
2025-01-01T13:45+01:00,682.1
2025-01-01T14:00+01:00,1592.7
2025-01-01T14:15+01:00,1532.6
2025-01-01T14:30+01:00,1647.7
2025-01-01T14:45+01:00,1886.8
2025-01-01T15:00+01:00,2884.4
2025-01-01T15:15+01:00,2727.5
2025-01-01T15:30+01:00,2964.7
2025-01-01T15:45+01:00,4185.6
2025-01-01T16:00+01:00,6258.2
2025-01-01T16:15+01:00,6512.5
2025-01-01T16:30+01:00,7052.5
2025-01-01T16:45+01:00,8643.2
2025-01-01T17:00+01:00,7659.6
2025-01-01T17:15+01:00,6776.3
2025-01-01T17:30+01:00,7010.3
2025-01-01T17:45+01:00,7280
2025-01-01T18:00+01:00,8086.7
2025-01-01T18:15+01:00,7827.4
2025-01-01T18:30+01:00,8040.7
2025-01-01T18:45+01:00,7669.4
2025-01-01T19:00+01:00,8220.9
2025-01-01T19:15+01:00,7938.6
2025-01-01T19:30+01:00,7927.5
2025-01-01T19:45+01:00,7548.5
2025-01-01T20:00+01:00,6193.3
2025-01-01T20:15+01:00,6223.3
2025-01-01T20:30+01:00,5870.9
2025-01-01T20:45+01:00,5152.2
2025-01-01T21:00+01:00,5360.8
2025-01-01T21:15+01:00,5402.1
2025-01-01T21:30+01:00,5274.8
2025-01-01T21:45+01:00,5058.2
2025-01-01T22:00+01:00,5894.8
2025-01-01T22:15+01:00,5508.4
2025-01-01T22:30+01:00,4877.9
2025-01-01T22:45+01:00,3995.7
2025-01-01T23:00+01:00,3120
2025-01-01T23:15+01:00,3028.3
2025-01-01T23:30+01:00,1641.3
2025-01-01T23:45+01:00,1270
2025-01-02T00:00+01:00,1952.5
2025-01-02T00:15+01:00,2757.1
2025-01-02T00:30+01:00,2064.6
2025-01-02T00:45+01:00,2515.5
2025-01-02T01:00+01:00,1204.1
2025-01-02T01:15+01:00,802.7
2025-01-02T01:30+01:00,764.4
2025-01-02T01:45+01:00,1473.4
2025-01-02T02:00+01:00,1807.8
2025-01-02T02:15+01:00,2334.9
2025-01-02T02:30+01:00,1692.2
2025-01-02T02:45+01:00,1676.7
2025-01-02T03:00+01:00,1813.8
2025-01-02T03:15+01:00,2990.3
2025-01-02T03:30+01:00,4034
2025-01-02T03:45+01:00,4777.2
2025-01-02T04:00+01:00,5984.1
2025-01-02T04:15+01:00,5561.1
2025-01-02T04:30+01:00,6155.5
2025-01-02T04:45+01:00,7247.3
2025-01-02T05:00+01:00,8035
2025-01-02T05:15+01:00,8885.2
2025-01-02T05:30+01:00,10393.2
2025-01-02T05:45+01:00,11358.3
2025-01-02T06:00+01:00,12824.2
2025-01-02T06:15+01:00,14806.2
2025-01-02T06:30+01:00,16549.4
2025-01-02T06:45+01:00,18547
2025-01-02T07:00+01:00,20470
2025-01-02T07:15+01:00,22170.8
2025-01-02T07:30+01:00,23261.3
2025-01-02T07:45+01:00,24674.4
2025-01-02T08:00+01:00,27064.3
2025-01-02T08:15+01:00,28975.6
2025-01-02T08:30+01:00,29623
2025-01-02T08:45+01:00,30624
2025-01-02T09:00+01:00,31711.5
2025-01-02T09:15+01:00,33050.7
2025-01-02T09:30+01:00,33920.7
2025-01-02T09:45+01:00,34186.4
2025-01-02T10:00+01:00,34509.8
2025-01-02T10:15+01:00,35334.8
2025-01-02T10:30+01:00,35974.2
2025-01-02T10:45+01:00,36321.2
2025-01-02T11:00+01:00,36267.8
2025-01-02T11:15+01:00,36333.1
2025-01-02T11:30+01:00,36749.2
2025-01-02T11:45+01:00,37350.5
2025-01-02T12:00+01:00,37983.3
2025-01-02T12:15+01:00,38120.1
2025-01-02T12:30+01:00,37716.3
2025-01-02T12:45+01:00,37137.8
2025-01-02T13:00+01:00,37822.7
2025-01-02T13:15+01:00,37599.2
2025-01-02T13:30+01:00,37971.2
2025-01-02T13:45+01:00,38422.5
2025-01-02T14:00+01:00,39274.4
2025-01-02T14:15+01:00,39268.4
2025-01-02T14:30+01:00,40119.6
2025-01-02T14:45+01:00,40744.6
2025-01-02T15:00+01:00,41443.5
2025-01-02T15:15+01:00,41555.3
2025-01-02T15:30+01:00,41984.4
2025-01-02T15:45+01:00,42027
2025-01-02T16:00+01:00,41856.1
2025-01-02T16:15+01:00,42516.2
2025-01-02T16:30+01:00,42515.9
2025-01-02T16:45+01:00,42949.1
2025-01-02T17:00+01:00,42146.2
2025-01-02T17:15+01:00,41712.2
2025-01-02T17:30+01:00,41937.1
2025-01-02T17:45+01:00,42381.1
2025-01-02T18:00+01:00,41961.2
2025-01-02T18:15+01:00,41979.6
2025-01-02T18:30+01:00,41260.2
2025-01-02T18:45+01:00,40227.6
