Datum (MEZ),Residuallast,Day Ahead Auktion (DE-LU)
,Leistung (MW),Preis (EUR/MWh)
2025-01-01T00:00+01:00,13020.1,2.16
2025-01-01T00:15+01:00,12098.9,2.16
2025-01-01T00:30+01:00,12198.1,2.16
2025-01-01T00:45+01:00,12100.7,2.16
2025-01-01T01:00+01:00,11688.9,1.6
2025-01-01T01:15+01:00,10921.2,1.6
2025-01-01T01:30+01:00,10760.1,1.6
2025-01-01T01:45+01:00,10400.1,1.6
2025-01-01T02:00+01:00,9780.3,0
2025-01-01T02:15+01:00,9274.2,0
2025-01-01T02:30+01:00,9341.9,0
2025-01-01T02:45+01:00,9231.7,0
2025-01-01T03:00+01:00,10352.8,-0.01
2025-01-01T03:15+01:00,10513.8,-0.01
2025-01-01T03:30+01:00,9814.4,-0.01
2025-01-01T03:45+01:00,9533.5,-0.01
2025-01-01T04:00+01:00,9236.6,-0.01
2025-01-01T04:15+01:00,9471.6,-0.01
2025-01-01T04:30+01:00,9171.5,-0.01
2025-01-01T04:45+01:00,8821.2,-0.01
2025-01-01T05:00+01:00,9275.9,-0.06
2025-01-01T05:15+01:00,9121.1,-0.06
2025-01-01T05:30+01:00,8970.5,-0.06
2025-01-01T05:45+01:00,9015.9,-0.06
2025-01-01T06:00+01:00,7003.7,-0.09
2025-01-01T06:15+01:00,6767.9,-0.09
2025-01-01T06:30+01:00,6700.2,-0.09
2025-01-01T06:45+01:00,6279.5,-0.09
2025-01-01T07:00+01:00,5964,-0.01
2025-01-01T07:15+01:00,6179.3,-0.01
2025-01-01T07:30+01:00,6071.3,-0.01
2025-01-01T07:45+01:00,6237.3,-0.01
2025-01-01T08:00+01:00,6861.9,-0.01
2025-01-01T08:15+01:00,7039.2,-0.01
2025-01-01T08:30+01:00,6911.1,-0.01
2025-01-01T08:45+01:00,6608.4,-0.01
2025-01-01T09:00+01:00,7342.3,-0.04
2025-01-01T09:15+01:00,7160.9,-0.04
2025-01-01T09:30+01:00,6780.2,-0.04
2025-01-01T09:45+01:00,6463.5,-0.04
2025-01-01T10:00+01:00,4965.7,-0.03
2025-01-01T10:15+01:00,3993,-0.03
2025-01-01T10:30+01:00,3450.2,-0.03
2025-01-01T10:45+01:00,3239.5,-0.03
2025-01-01T11:00+01:00,3086,-0.1
2025-01-01T11:15+01:00,3164.9,-0.1
2025-01-01T11:30+01:00,3249.2,-0.1
2025-01-01T11:45+01:00,3192,-0.1
2025-01-01T12:00+01:00,2739.1,-0.05
2025-01-01T12:15+01:00,2122.9,-0.05
2025-01-01T12:30+01:00,1866.8,-0.05
2025-01-01T12:45+01:00,2196,-0.05
2025-01-01T13:00+01:00,1402.3,-0.1
2025-01-01T13:15+01:00,715.9,-0.1
2025-01-01T13:30+01:00,770,-0.1
2025-01-01T13:45+01:00,682.1,-0.1
2025-01-01T14:00+01:00,1592.7,-1.01
2025-01-01T14:15+01:00,1532.6,-1.01
2025-01-01T14:30+01:00,1647.7,-1.01
