"Session Number";"Session Identifier";"ID Chip";"ID Chip Name";"Betriebsart ECO [%]";"Betriebsart Next Trip [%]";"Start";"Ende";"Dauer gesamt";"Dauer aktiver Stromfluss";"max. Leistung [kW]";"max. Strom [A]";"Energie [kWh]";"Zaehlerstand Anfang [kWh]";"Zaehlerstand Ende [kWh]"
"19";"33051782_1686484362";"1";"Auto";"100";"0";"11.06.2023 13:52:42";"11.06.2023 16:23:10";"02:30:28";"01:04:49";"7,1";"16,3";"5,03";"179,403";"184,412"
"20";"33051782_1686654626";"1";"Auto";"100";"0";"13.06.2023 13:10:26";"13.06.2023 16:18:42";"03:08:16";"01:45:38";"6,3";"16,7";"7,885";"184,412";"192,263"
"21";"33051782_1686724422";"1";"Auto";"100";"0";"14.06.2023 08:33:42";"14.06.2023 16:53:26";"08:19:44";"02:51:52";"6,3";"16,4";"10,487";"192,263";"202,706"
"22";"33051782_1688637298";"1";"Auto";"100";"0";"06.07.2023 11:54:58";"06.07.2023 17:45:26";"05:50:28";"03:00:10";"6,3";"16,4";"10,559";"202,706";"213,216"
"23";"33051782_1688726082";"1";"Auto";"100";"0";"07.07.2023 12:34:42";"07.07.2023 16:23:58";"03:49:16";"02:06:42";"7";"16,2";"11,239";"213,216";"224,404"
"24";"33051782_1688747578";"1";"Auto";"100";"0";"07.07.2023 18:32:58";"08.07.2023 10:36:26";"16:03:28";"01:52:03";"6,9";"15,4";"5,5";"224,404";"229,882"
"25";"33051782_1688832378";"1";"Auto";"100";"0";"08.07.2023 18:06:18";"09.07.2023 10:29:10";"16:22:52";"02:19:29";"7,1";"16,6";"6,737";"229,882";"236,591"
"26";"33051782_1688897938";"1";"Auto";"100";"0";"09.07.2023 12:18:58";"09.07.2023 16:46:42";"04:27:44";"01:59:55";"5";"16,4";"6,638";"236,591";"243,2"
"27";"33051782_1689939642";"1";"Auto";"0";"0";"21.07.2023 13:40:42";"21.07.2023 15:30:10";"01:49:28";"01:23:15";"7,1";"10,2";"9,337";"243,2";"252,494"
"28";"33051782_1690218702";"";"";"0";"0";"24.07.2023 19:11:42";"25.07.2023 08:27:42";"13:16:00";"04:45:22";"7,1";"10,4";"30,587";"252,494";"282,886"
"29";"33051782_1692103038";"1";"Auto";"100";"0";"15.08.2023 14:37:18";"16.08.2023 08:46:10";"18:08:52";"03:59:37";"4,2";"6,5";"13,354";"282,886";"296,189"
"30";"33051782_1692885838";"1";"Auto";"100";"0";"24.08.2023 16:03:58";"24.08.2023 18:58:50";"02:54:52";"01:36:51";"4,2";"6,5";"3,744";"296,189";"299,915"
"31";"33051782_1692908794";"";"";"0";"0";"24.08.2023 22:26:34";"25.08.2023 13:45:26";"15:18:52";"02:52:19";"7,2";"10,5";"20,56";"299,915";"320,344"
"32";"33051782_1693910118";"1";"Auto";"0";"0";"05.09.2023 12:35:18";"05.09.2023 15:38:10";"03:02:52";"03:02:17";"7,1";"10,3";"21,708";"320,344";"341,973"
"33";"33051782_1695298754";"1";"";"1";"0";"21.09.2023 14:19:14";"22.09.2023 12:55:14";"22:36:00";"05:38:06";"7,1";"13,3";"36,644";"341,973";"378,617"
"34";"33051782_1696408890";"";"";"100";"0";"04.10.2023 10:41:30";"04.10.2023 18:20:42";"07:39:12";"03:23:36";"7,2";"16,5";"10,071";"378,617";"388,645"
"35";"33051782_1696753498";"1";"Auto";"0";"0";"08.10.2023 10:24:58";"08.10.2023 13:16:50";"02:51:52";"02:51:26";"7,1";"10,4";"20,393";"388,645";"408,953"
"36";"33051782_1696830538";"1";"Auto";"0";"0";"09.10.2023 07:48:58";"09.10.2023 10:09:22";"02:20:24";"02:20:07";"7,2";"10,6";"16,754";"408,953";"425,606"
"37";"33051782_1696846690";"1";"Auto";"0";"0";"09.10.2023 12:18:10";"09.10.2023 14:52:10";"02:34:00";"02:32:06";"7,1";"10,4";"18,053";"425,606";"443,575"
"38";"33051782_1697540778";"1";"Auto";"100";"0";"17.10.2023 13:06:18";"17.10.2023 14:25:46";"01:19:28";"00:55:47";"5,4";"16";"2,907";"443,575";"446,47"
"39";"33051782_1697546354";"1";"Auto";"100";"0";"17.10.2023 14:39:14";"18.10.2023 08:36:18";"17:57:04";"02:50:18";"7,1";"16,5";"9,068";"446,47";"455,496"
"40";"33051782_1697905314";"1";"Auto";"0";"0";"21.10.2023 18:21:54";"22.10.2023 11:05:22";"16:43:28";"05:04:25";"7,2";"10,6";"35,241";"455,496";"490,541"
"41";"33051782_1698687650";"1";"Auto";"0";"0";"30.10.2023 18:40:50";"31.10.2023 07:09:22";"12:28:32";"02:55:50";"7,2";"10,5";"17,353";"490,541";"507,786"
"42";"33051782_1699016674";"1";"Auto";"0";"0";"03.11.2023 14:04:34";"04.11.2023 11:50:34";"21:46:00";"06:09:57";"7,2";"10,7";"40,413";"507,786";"547,986"
"43";"33051782_1699435736";"1";"Auto";"0";"0";"08.11.2023 10:28:56";"09.11.2023 12:40:58";"26:12:02";"05:28:21";"7,2";"10,5";"35,336";"547,986";"583,118"
"44";"33051782_1703971426";"1";"Auto";"0";"0";"30.12.2023 22:23:46";"31.12.2023 09:44:50";"11:21:04";"04:18:46";"7,2";"10,7";"26,625";"583,118";"609,634"
"45";"33051782_1705662682";"1";"Auto";"0";"0";"19.01.2024 12:11:22";"19.01.2024 14:08:10";"01:56:48";"01:56:46";"7,4";"10,9";"11,369";"609,634";"620,952"
"46";"33051782_1705761858";"1";"Auto";"0";"0";"20.01.2024 15:44:18";"20.01.2024 19:01:54";"03:17:36";"02:27:54";"7,2";"10,5";"12,174";"620,952";"633,073"
"47";"33051782_1705947522";"1";"Auto";"0";"0";"22.01.2024 19:18:42";"23.01.2024 08:25:06";"13:06:24";"05:17:38";"7,2";"10,6";"33,11";"633,073";"665,992"
"48";"33051782_1706437578";"1";"Auto";"0";"0";"28.01.2024 11:26:18";"28.01.2024 12:15:30";"00:49:12";"00:41:58";"7,2";"10,5";"4,99";"665,992";"670,95"
"49";"33051782_1707666530";"1";"Auto";"0";"0";"11.02.2024 16:48:50";"11.02.2024 22:38:18";"05:49:28";"04:50:04";"7,2";"10,7";"29,446";"670,95";"700,256"
"50";"33051782_1709115346";"1";"Auto";"19";"0";"28.02.2024 11:15:46";"28.02.2024 15:36:34";"04:20:48";"02:12:05";"7,2";"12,2";"12,719";"700,256";"712,927"
"51";"33051782_1709272866";"1";"Auto";"0";"0";"01.03.2024 07:01:06";"01.03.2024 12:48:42";"05:47:36";"04:19:55";"7,2";"10,9";"25,967";"712,927";"738,777"
"52";"33051782_1710582322";"1";"Auto";"0";"0";"16.03.2024 10:45:22";"16.03.2024 15:19:22";"04:34:00";"01:16:49";"7,2";"10,6";"4,514";"738,777";"743,274"
"53";"33051782_1711108674";"";"";"100";"0";"22.03.2024 12:57:54";"22.03.2024 16:14:58";"03:17:04";"01:52:02";"7";"16,5";"8,322";"743,274";"751,553"
"54";"33051782_1711360434";"";"";"100";"0";"25.03.2024 10:53:54";"25.03.2024 13:19:06";"02:25:12";"00:50:30";"6,9";"16,2";"2,912";"751,553";"754,451"
"55";"33051782_1711373154";"";"";"100";"0";"25.03.2024 14:25:54";"26.03.2024 09:11:38";"18:45:44";"03:21:20";"7,1";"16,4";"13,579";"754,451";"767,962"
"56";"33051782_1711442018";"";"";"100";"0";"26.03.2024 09:33:38";"26.03.2024 15:01:54";"05:28:16";"00:56:24";"4,2";"16,2";"2,764";"767,962";"770,714"
"57";"33051782_1711800810";"1";"Auto";"0";"0";"30.03.2024 13:13:30";"30.03.2024 20:05:54";"06:52:24";"05:04:24";"7,1";"10,6";"30,941";"770,714";"801,527"
"58";"33051782_1712399978";"1";"Auto";"100";"0";"06.04.2024 12:39:38";"06.04.2024 14:42:10";"02:02:32";"01:53:13";"5,4";"16";"8,635";"801,527";"810,123"
"59";"33051782_1712415730";"1";"Auto";"100";"0";"06.04.2024 17:02:10";"07.04.2024 09:06:26";"16:04:16";"00:58:21";"3,7";"16,3";"2,937";"810,123";"813,047"
"60";"33051782_1712837258";"";"";"100";"0";"11.04.2024 14:07:38";"11.04.2024 18:07:54";"04:00:16";"00:30:35";"3,7";"16,2";"1,504";"813,047";"814,545"
"61";"33051782_1712923874";"";"";"100";"0";"12.04.2024 14:11:14";"12.04.2024 16:23:14";"02:12:00";"02:10:36";"7";"16,3";"10,575";"814,545";"825,07"
"62";"33051782_1712939882";"1";"Auto";"100";"0";"12.04.2024 18:38:02";"13.04.2024 09:25:06";"14:47:04";"00:43:50";"6,6";"15,1";"1,976";"825,07";"827,039"
"63";"33051782_1713004506";"1";"Auto";"100";"0";"13.04.2024 12:35:06";"13.04.2024 17:36:02";"05:00:56";"02:25:41";"7,1";"16,6";"10,249";"827,039";"837,242"
"64";"33051782_1714296258";"1";"Auto";"0";"0";"28.04.2024 11:24:18";"28.04.2024 12:20:50";"00:56:32";"00:07:12";"7,1";"10,3";"0,836";"837,242";"838,075"
"65";"33051782_1714753482";"1";"Auto";"0";"0";"03.05.2024 18:24:42";"04.05.2024 08:17:46";"13:53:04";"05:37:13";"7,1";"10,5";"34,879";"838,075";"872,801"
"66";"33051782_1720534303";"";"";"100";"0";"09.07.2024 16:11:43";"09.07.2024 16:33:07";"00:21:24";"00:21:24";"7";"9,9";"1,82";"872,801";"874,615"
"67";"33051782_1720544019";"1";"Mokka";"100";"0";"09.07.2024 18:53:39";"10.07.2024 14:08:29";"19:14:50";"01:13:04";"7,1";"16,6";"4,322";"874,615";"878,915"
