Zeitstempel;Preis [ct/kWh]
01.06.2025 00:00;11.930
01.06.2025 00:15;11.930
01.06.2025 00:30;11.930
01.06.2025 00:45;11.930
01.06.2025 01:00;11.930
01.06.2025 01:15;11.930
01.06.2025 01:30;11.930
01.06.2025 01:45;11.930
01.06.2025 02:00;11.930
01.06.2025 02:15;11.930
01.06.2025 02:30;11.930
01.06.2025 02:45;11.930
01.06.2025 03:00;11.930
01.06.2025 03:15;11.930
01.06.2025 03:30;11.930
01.06.2025 03:45;11.930
01.06.2025 04:00;4.770
01.06.2025 04:15;4.770
01.06.2025 04:30;4.770
01.06.2025 04:45;4.770
01.06.2025 05:00;4.770
01.06.2025 05:15;4.770
01.06.2025 05:30;4.770
01.06.2025 05:45;4.770
01.06.2025 06:00;4.770
01.06.2025 06:15;4.770
01.06.2025 06:30;4.770
01.06.2025 06:45;4.770
01.06.2025 07:00;11.930
01.06.2025 07:15;11.930
01.06.2025 07:30;11.930
01.06.2025 07:45;11.930
01.06.2025 08:00;11.930
01.06.2025 08:15;11.930
01.06.2025 08:30;11.930
01.06.2025 08:45;11.930
01.06.2025 09:00;11.930
01.06.2025 09:15;11.930
01.06.2025 09:30;11.930
01.06.2025 09:45;11.930
01.06.2025 10:00;11.930
01.06.2025 10:15;11.930
01.06.2025 10:30;11.930
01.06.2025 10:45;11.930
01.06.2025 11:00;11.930
01.06.2025 11:15;11.930
01.06.2025 11:30;11.930
01.06.2025 11:45;11.930
01.06.2025 12:00;11.930
01.06.2025 12:15;11.930
01.06.2025 12:30;11.930
01.06.2025 12:45;11.930
01.06.2025 13:00;11.930
01.06.2025 13:15;11.930
01.06.2025 13:30;11.930
01.06.2025 13:45;11.930
01.06.2025 14:00;11.930
01.06.2025 14:15;11.930
01.06.2025 14:30;11.930
01.06.2025 14:45;11.930
01.06.2025 15:00;14.430
01.06.2025 15:15;14.430
01.06.2025 15:30;14.430
01.06.2025 15:45;14.430
01.06.2025 16:00;14.430
01.06.2025 16:15;14.430
01.06.2025 16:30;14.430
01.06.2025 16:45;14.430
01.06.2025 17:00;14.430
01.06.2025 17:15;14.430
01.06.2025 17:30;11.930
01.06.2025 17:45;11.930
01.06.2025 18:00;11.930
01.06.2025 18:15;11.930
01.06.2025 18:30;11.930
01.06.2025 18:45;11.930
01.06.2025 19:00;11.930
01.06.2025 19:15;11.930
01.06.2025 19:30;11.930
01.06.2025 19:45;11.930
01.06.2025 20:00;11.930
01.06.2025 20:15;11.930
01.06.2025 20:30;11.930
01.06.2025 20:45;11.930
01.06.2025 21:00;11.930
01.06.2025 21:15;11.930
01.06.2025 21:30;11.930
01.06.2025 21:45;11.930
01.06.2025 22:00;11.930
01.06.2025 22:15;11.930
01.06.2025 22:30;11.930
01.06.2025 22:45;11.930
01.06.2025 23:00;11.930
01.06.2025 23:15;11.930
01.06.2025 23:30;11.930
01.06.2025 23:45;11.930
02.06.2025 00:00;11.930
02.06.2025 00:15;11.930
02.06.2025 00:30;11.930
02.06.2025 00:45;11.930
02.06.2025 01:00;11.930
02.06.2025 01:15;11.930
02.06.2025 01:30;11.930
02.06.2025 01:45;11.930
02.06.2025 02:00;11.930
02.06.2025 02:15;11.930
02.06.2025 02:30;11.930
02.06.2025 02:45;11.930
02.06.2025 03:00;11.930
02.06.2025 03:15;11.930
02.06.2025 03:30;11.930
02.06.2025 03:45;11.930
02.06.2025 04:00;4.770
02.06.2025 04:15;4.770
02.06.2025 04:30;4.770
02.06.2025 04:45;4.770
02.06.2025 05:00;4.770
02.06.2025 05:15;4.770
02.06.2025 05:30;4.770
02.06.2025 05:45;4.770
02.06.2025 06:00;4.770
02.06.2025 06:15;4.770
02.06.2025 06:30;4.770
02.06.2025 06:45;4.770
02.06.2025 07:00;11.930
02.06.2025 07:15;11.930
02.06.2025 07:30;11.930
02.06.2025 07:45;11.930
02.06.2025 08:00;11.930
02.06.2025 08:15;11.930
02.06.2025 08:30;11.930
02.06.2025 08:45;11.930
02.06.2025 09:00;11.930
02.06.2025 09:15;11.930
02.06.2025 09:30;11.930
02.06.2025 09:45;11.930
02.06.2025 10:00;11.930
02.06.2025 10:15;11.930
02.06.2025 10:30;11.930
02.06.2025 10:45;11.930
02.06.2025 11:00;11.930
02.06.2025 11:15;11.930
02.06.2025 11:30;11.930
02.06.2025 11:45;11.930
02.06.2025 12:00;11.930
02.06.2025 12:15;11.930
02.06.2025 12:30;11.930
02.06.2025 12:45;11.930
02.06.2025 13:00;11.930
02.06.2025 13:15;11.930
02.06.2025 13:30;11.930
02.06.2025 13:45;11.930
02.06.2025 14:00;11.930
02.06.2025 14:15;11.930
02.06.2025 14:30;11.930
02.06.2025 14:45;11.930
02.06.2025 15:00;14.430
02.06.2025 15:15;14.430
02.06.2025 15:30;14.430
02.06.2025 15:45;14.430
02.06.2025 16:00;14.430
02.06.2025 16:15;14.430
02.06.2025 16:30;14.430
02.06.2025 16:45;14.430
02.06.2025 17:00;14.430
02.06.2025 17:15;14.430
02.06.2025 17:30;11.930
02.06.2025 17:45;11.930
02.06.2025 18:00;11.930
02.06.2025 18:15;11.930
02.06.2025 18:30;11.930
02.06.2025 18:45;11.930
02.06.2025 19:00;11.930
02.06.2025 19:15;11.930
02.06.2025 19:30;11.930
02.06.2025 19:45;11.930
02.06.2025 20:00;11.930
02.06.2025 20:15;11.930
02.06.2025 20:30;11.930
02.06.2025 20:45;11.930
02.06.2025 21:00;11.930
02.06.2025 21:15;11.930
02.06.2025 21:30;11.930
02.06.2025 21:45;11.930
02.06.2025 22:00;11.930
02.06.2025 22:15;11.930
02.06.2025 22:30;11.930
02.06.2025 22:45;11.930
02.06.2025 23:00;11.930
02.06.2025 23:15;11.930
02.06.2025 23:30;11.930
02.06.2025 23:45;11.930
03.06.2025 00:00;11.930
03.06.2025 00:15;11.930
03.06.2025 00:30;11.930
03.06.2025 00:45;11.930
03.06.2025 01:00;11.930
03.06.2025 01:15;11.930
03.06.2025 01:30;11.930
03.06.2025 01:45;11.930
03.06.2025 02:00;11.930
03.06.2025 02:15;11.930
03.06.2025 02:30;11.930
03.06.2025 02:45;11.930
03.06.2025 03:00;11.930
03.06.2025 03:15;11.930
03.06.2025 03:30;11.930
03.06.2025 03:45;11.930
03.06.2025 04:00;4.770
03.06.2025 04:15;4.770
03.06.2025 04:30;4.770
03.06.2025 04:45;4.770
03.06.2025 05:00;4.770
