Datum (MEZ),Consumption,Production,Battery Charging,Battery Discharging,"Battery 
Kostal G2 - SOC","Inverter 
Kostal PLENTICORE plus - currentPower","Inverter 
Kostal PLENTICORE plus - activeDevice","Smart Meter 
Smart-Meter - currentPower","Smart Meter 
Smart-Meter - activeDevice","Heatpump 
Buderus MX400 - currentPower","Heatpump 
Buderus MX400 - activeDevice","Heatpump 
Buderus MX400 - currentWaterTemp"
2025-07-15T12:15:00+02:00,0,0,0,0,0,,,,,,,0
2025-07-15T12:30:00+02:00,0,0,0,0,0,,,,,,,0
2025-07-15T12:45:00+02:00,0,0,0,0,0,,,,,,,0
2025-07-15T13:00:00+02:00,0,313,0,0,0,397,1,0,0,0,0,0
2025-07-15T13:15:00+02:00,0,388,0,0,0,387.67,1,0,0,0,0,0
2025-07-15T13:30:00+02:00,0,305,0,0,0,305,1,0,0,0,0,0
2025-07-15T13:45:00+02:00,0,868,0,0,0,868.33,1,0,0,0,0,0
2025-07-15T14:00:00+02:00,206,1309,963,0,47,1309.33,1,6.67,1,82,1,46.8
2025-07-15T14:15:00+02:00,2400,2636,447,212,49,2635.67,1,4.33,1,2196,1,46.33
2025-07-15T14:30:00+02:00,2001,2005,325,646,48,2005,1,-433.67,1,1877.33,1,50.17
2025-07-15T14:45:00+02:00,2519,4353,1150,0,50,4351,1,-650.5,1,198,1,52
2025-07-15T15:00:00+02:00,1734,3327,1461,0,53,3327,1,-124.67,1,792.67,1,52.37
2025-07-15T15:15:00+02:00,1727,2889,737,0,57,2888.67,1,-418.67,1,25,1,52.8
2025-07-15T15:30:00+02:00,1177,2688,1326,0,60,2688.33,1,-179.67,1,25,1,52.67
2025-07-15T15:45:00+02:00,898,2813,1908,0,64,2813,1,1,1,137.33,1,52.13
2025-07-15T16:00:00+02:00,1937,2692,540,0,67,2692,1,-207.67,1,914,1,52.43
2025-07-15T16:15:00+02:00,991,1341,347,0,68,1341,1,4.67,1,777.33,1,53.5
2025-07-15T16:30:00+02:00,339,955,617,0,69,955.33,1,7,1,42.33,1,54.37
2025-07-15T16:45:00+02:00,262,797,531,0,70,797,1,3.67,1,25,1,54.33
2025-07-15T17:00:00+02:00,185,1426,1243,0,72,1426,1,8,1,25,1,53.77
2025-07-15T17:15:00+02:00,202,1101,899,0,74,1100.67,1,8.33,1,25,1,53.4
2025-07-15T17:30:00+02:00,176,1913,1737,0,77,1913.33,1,5,1,25,1,53.17
2025-07-15T17:45:00+02:00,248,1238,999,0,79,1237.67,1,15.33,1,25,1,53.07
2025-07-15T18:00:00+02:00,720,936,410,194,80,935.67,1,2,1,462.33,1,52.83
2025-07-15T18:15:00+02:00,712,1020,454,145,81,1019.67,1,1.67,1,478,1,52.73
2025-07-15T18:30:00+02:00,582,764,331,153,81,764,1,2,1,413.33,1,52.97
2025-07-15T18:45:00+02:00,289,643,380,25,82,643,1,5,1,97,1,53.2
2025-07-15T19:00:00+02:00,288,380,166,82,82,379.67,1,-0.67,1,25,1,53.1
2025-07-15T19:15:00+02:00,375,284,36,131,82,284,1,-3.33,1,25,1,52.6
2025-07-15T19:30:00+02:00,246,241,20,27,82,241,1,2,1,25,1,52.17
2025-07-15T19:45:00+02:00,359,257,0,93,82,256.67,1,2,1,25,1,52
2025-07-15T20:00:00+02:00,375,177,0,192,81,176.67,1,-0.33,1,25,1,51.9
2025-07-15T20:15:00+02:00,254,126,0,121,81,125.67,1,0.33,1,25,1,51.77
2025-07-15T20:30:00+02:00,317,91,0,220,81,90.67,1,-1,1,25,1,51.6
2025-07-15T20:45:00+02:00,379,68,0,304,80,68.33,1,-1.33,1,25,1,51.37
2025-07-15T21:00:00+02:00,371,18,0,344,80,18.33,1,0.33,1,25,1,51.17
2025-07-15T21:15:00+02:00,392,8,0,382,79,8,1,-5.33,1,25,1,50.93
2025-07-15T21:30:00+02:00,379,0,0,378,78,0,0,-7,1,25,1,50.77
2025-07-15T21:45:00+02:00,320,0,0,321,78,0,0,-7.33,1,25,1,50.53
2025-07-15T22:00:00+02:00,231,0,0,230,77,0,0,-5.33,1,25,1,50.33
2025-07-15T22:15:00+02:00,264,0,0,264,77,0,0,-6,1,25,1,50.17
2025-07-15T22:30:00+02:00,316,0,0,317,76,0,0,-7.67,1,25,1,50
2025-07-15T22:45:00+02:00,301,0,0,302,75,0,0,-7.33,1,25,1,49.8
2025-07-15T23:00:00+02:00,271,0,0,271,75,0,0,-6,1,25,1,49.6
2025-07-15T23:15:00+02:00,299,0,0,299,74,0,0,-6.67,1,25,1,49.43
2025-07-15T23:30:00+02:00,273,0,0,272,74,0,0,-5.67,1,25,1,49.27
2025-07-15T23:45:00+02:00,192,0,0,188,73,0,0,-2,1,25,1,49.1
2025-07-16T00:00:00+02:00,143,0,0,96,73,0,0,38.67,1,25,1,48.9
2025-07-16T00:15:00+02:00,101,0,0,58,73,0,0,35.33,1,25,1,48.73
2025-07-16T00:30:00+02:00,94,0,0,57,73,0,0,29,1,25,1,48.57
2025-07-16T00:45:00+02:00,104,0,0,61,72,0,0,37.67,1,25,1,48.37
2025-07-16T01:00:00+02:00,111,0,0,63,72,0,0,39.33,1,25,1,48.23
2025-07-16T01:15:00+02:00,97,0,0,59,72,0,0,32,1,25,1,48.03
2025-07-16T01:30:00+02:00,92,0,0,57,71,0,0,30.33,1,25,1,47.87
2025-07-16T01:45:00+02:00,99,0,0,60,71,0,0,31.33,1,25,1,47.7
2025-07-16T02:00:00+02:00,93,0,0,57,71,0,0,30.67,1,25,1,47.5
2025-07-16T02:15:00+02:00,100,0,0,57,71,0,0,35.67,1,25,1,47.27
2025-07-16T02:30:00+02:00,118,0,0,67,70,0,0,42.67,1,25,1,47.1
2025-07-16T02:45:00+02:00,117,0,0,66,70,0,0,44.33,1,25,1,46.93
2025-07-16T03:00:00+02:00,100,0,0,58,70,0,0,35.67,1,25,1,46.77
2025-07-16T03:15:00+02:00,95,0,0,58,69,0,0,32,1,25,1,46.63
2025-07-16T03:30:00+02:00,95,0,0,58,69,0,0,30.67,1,25,1,46.47
2025-07-16T03:45:00+02:00,89,0,0,57,69,0,0,26.67,1,25,1,46.3
2025-07-16T04:00:00+02:00,100,0,0,59,69,0,0,34,1,25,1,46.13
2025-07-16T04:15:00+02:00,114,0,0,61,68,0,0,44.33,1,25,1,45.97
2025-07-16T04:30:00+02:00,108,0,0,61,68,0,0,39.67,1,25,1,45.83
2025-07-16T04:45:00+02:00,102,13,0,57,68,13.33,1,27.67,1,25,1,45.67
2025-07-16T05:00:00+02:00,112,20,0,57,68,20,1,29.67,1,25,1,45.53
2025-07-16T05:15:00+02:00,107,15,0,57,67,15,1,29,1,25,1,45.37
2025-07-16T05:30:00+02:00,107,18,0,57,67,18,1,25.33,1,25,1,45.23
2025-07-16T05:45:00+02:00,141,35,0,62,67,35,1,35.67,1,25,1,45.07
2025-07-16T06:00:00+02:00,147,57,0,60,67,57,1,25.67,1,25,1,44.93
2025-07-16T06:15:00+02:00,172,110,0,53,67,110,1,4,1,25,1,44.8
2025-07-16T06:30:00+02:00,458,258,0,54,66,258.33,1,141.33,1,25,1,44.67
2025-07-16T06:45:00+02:00,213,162,0,47,66,162.33,1,-3.33,1,25,1,44.53
2025-07-16T07:00:00+02:00,280,265,0,24,66,265.33,1,-18,1,25,1,44.37
2025-07-16T07:15:00+02:00,727,293,0,459,66,293,1,-30.67,1,524.33,1,44.07
2025-07-16T07:30:00+02:00,2911,280,0,2657,62,279.67,1,-33.67,1,2612.67,1,45.13
2025-07-16T07:45:00+02:00,2372,402,0,2017,57,401.67,1,-54.67,1,2136.33,1,49.87
2025-07-16T08:00:00+02:00,642,603,0,280,56,603,1,-245.33,1,470,1,51.9
2025-07-16T08:15:00+02:00,619,544,0,346,55,544.33,1,-275.33,1,475.33,1,52.13
2025-07-16T08:30:00+02:00,586,823,0,188,55,823.33,1,-429.33,1,476.67,1,52.3
2025-07-16T08:45:00+02:00,291,935,0,60,55,935,1,-704.33,1,138.67,1,52.47
2025-07-16T09:00:00+02:00,739,741,0,202,54,741.33,1,-207.67,1,374.33,1,52.57
2025-07-16T09:15:00+02:00,870,943,0,307,53,942.67,1,-384.67,1,479.33,1,52.63
2025-07-16T09:30:00+02:00,673,1328,0,102,53,1321,1,-621.33,1,489.33,1,52.73
2025-07-16T09:45:00+02:00,543,1263,0,40,53,1253.67,1,-643.67,1,476.67,1,52.9
2025-07-16T10:00:00+02:00,588,749,119,235,53,714,1,-146.67,1,480,1,53.07
2025-07-16T10:15:00+02:00,497,934,262,0,53,1125,1,-806.67,1,25,1,53.17
2025-07-16T10:30:00+02:00,948,1278,72,17,54,1360,1,-707,1,442,1,52.97
2025-07-16T10:45:00+02:00,903,1400,59,45,55,1556.67,1,-908.67,1,327.67,1,52.97
2025-07-16T11:00:00+02:00,999,1456,92,3,55,1675.67,1,-1097.33,1,206.67,1,53.13
2025-07-16T11:15:00+02:00,978,2340,87,0,56,2667.33,1,-2200.33,1,28.33,1,53.07
2025-07-16T11:30:00+02:00,2107,3289,79,0,57,3614.33,1,-2055.33,1,1229,1,53.07
2025-07-16T11:45:00+02:00,1394,1698,121,0,58,1934.67,1,-1068.33,1,554.33,1,54.4
2025-07-16T12:00:00+02:00,1063,1244,115,0,59,1552.67,1,-1159.33,1,25,1,55
2025-07-16T12:15:00+02:00,1306,2450,96,0,60,2876,1,-2412.33,1,25,1,54.77
