Date,Consumption,Production,Battery Charging,Battery Discharging,"Battery 
BYD B-BOX H with Kostal PLENTICORE plus and Energy Manager EM300-LR - SOC","Inverter 
Kostal PLENTICORE plus - currentPower","Inverter 
Kostal PLENTICORE plus - activeDevice ","Smart Meter 
KOSTAL EM - currentPower","Smart Meter 
KOSTAL EM - activeDevice ","Energy Measurement 
Wärmepumpe Innen - currentPower","Energy Measurement 
Wärmepumpe Innen - activeDevice","Energy Measurement 
Wärmepumpe Außen - currentPower","Energy Measurement 
Wärmepumpe Außen - activeDevice","Car Charging 
KEBA Wallbox P30 - currentPower","Car Charging- activeDevice","Heatpump 
PV Ready Switch - currentPower 
","Heatpump 
PV Ready Switch - activeDevice 
","Heatpump 
PV Ready Switch - currentWaterTemp 
"
2025-07-24T00:00:00+02:00,416,0,0,375,70,0,0,39.33,1,6,1,7,1,0,0,0,0,
2025-07-24T00:15:00+02:00,183,0,0,189,70,0,0,-6.33,1,6,1,7,1,0,0,0,0,
2025-07-24T00:30:00+02:00,232,0,0,230,69,0,0,-0.67,1,6,1,7,1,0,0,0,0,
2025-07-24T00:45:00+02:00,276,0,0,250,69,0,0,0,0,6,1,7,1,0,0,0,0,
2025-07-24T01:00:00+02:00,211,0,0,203,68,0,0,-4,1,6,1,7,1,0,0,0,0,
2025-07-24T01:15:00+02:00,192,0,0,201,68,0,0,3.67,1,6,1,7,1,0,0,0,0,
2025-07-24T01:30:00+02:00,297,0,0,287,67,0,0,6,1,6,1,7,1,0,0,0,0,
2025-07-24T01:45:00+02:00,283,0,0,263,66,0,0,9.33,1,6,1,7,1,0,0,0,0,
2025-07-24T02:00:00+02:00,252,0,0,241,66,0,0,-6,1,6,1,7,1,0,0,0,0,
2025-07-24T02:15:00+02:00,271,0,0,264,65,0,0,-5.67,1,6,1,7,1,0,0,0,0,
2025-07-24T02:30:00+02:00,261,0,0,246,65,0,0,10,1,6,1,7,1,0,0,0,0,
2025-07-24T02:45:00+02:00,264,0,0,239,64,0,0,4.33,1,6,1,7,1,0,0,0,0,
2025-07-24T03:00:00+02:00,175,0,0,181,64,0,0,4.33,1,6,1,7,1,0,0,0,0,
2025-07-24T03:15:00+02:00,260,0,0,249,63,0,0,5.33,1,6,1,7,1,0,0,0,0,
2025-07-24T03:30:00+02:00,237,0,0,236,63,0,0,0.67,1,6,1,7,1,0,0,0,0,
2025-07-24T03:45:00+02:00,225,0,0,224,62,0,0,0.33,1,6,1,7,1,0,0,0,0,
