Date,Consumption,Production,Battery Charging,Battery Discharging,"Battery 
Kostal G2 - SOC","Inverter 
Kostal PLENTICORE plus - currentPower","Inverter 
Kostal PLENTICORE plus - activeDevice","Smart Meter 
Smart-Meter - currentPower","Smart Meter 
Smart-Meter - activeDevice","Heatpump 
Buderus MX400 - currentPower","Heatpump 
Buderus MX400 - activeDevice","Heatpump 
Buderus MX400 - currentWaterTemp"
2025-08-24T00:00:00+02:00,239,0,0,237,84,0,0,2.67,1,25,1,49.23
2025-08-24T00:15:00+02:00,119,0,0,117,83,0,0,-0.67,1,25,1,49.07
2025-08-24T00:30:00+02:00,117,0,0,117,83,0,0,0,0,25,1,48.87
2025-08-24T00:45:00+02:00,136,0,0,132,83,0,0,0.33,1,25,1,48.7
2025-08-24T01:00:00+02:00,149,0,0,148,82,0,0,-0.33,1,25,1,48.5
2025-08-24T01:15:00+02:00,240,0,0,232,82,0,0,0.33,1,25,1,48.33
2025-08-24T01:30:00+02:00,234,0,0,232,81,0,0,-0.33,1,25,1,48.13
2025-08-24T01:45:00+02:00,169,0,0,166,81,0,0,-2.33,1,25,1,47.97
2025-08-24T02:00:00+02:00,101,0,0,100,81,0,0,0,0,25,1,47.77
2025-08-24T02:15:00+02:00,103,0,0,102,81,0,0,-0.67,1,25,1,47.6
2025-08-24T02:30:00+02:00,116,0,0,112,81,0,0,0.33,1,25,1,47.37
2025-08-24T02:45:00+02:00,187,0,0,181,80,0,0,1.67,1,25,1,47.13
2025-08-24T03:00:00+02:00,245,0,0,243,80,0,0,-1.33,1,25,1,46.97
2025-08-24T03:15:00+02:00,230,0,0,228,79,0,0,0,0,25,1,46.8
2025-08-24T03:30:00+02:00,122,0,0,118,79,0,0,-2.67,1,25,1,46.67
2025-08-24T03:45:00+02:00,101,0,0,101,79,0,0,0,0,25,1,46.47
2025-08-24T04:00:00+02:00,103,0,0,101,79,0,0,-0.33,1,25,1,46.3
2025-08-24T04:15:00+02:00,115,0,0,113,79,0,0,0.67,1,25,1,46.13
2025-08-24T04:30:00+02:00,246,0,0,247,78,0,0,-17.67,1,25,1,45.97
2025-08-24T04:45:00+02:00,241,0,0,239,77,0,0,-0.67,1,25,1,45.8
2025-08-24T05:00:00+02:00,184,0,0,183,77,0,0,-1.33,1,25,1,45.67
2025-08-24T05:15:00+02:00,114,0,0,113,77,0,0,-0.33,1,25,1,45.47
2025-08-24T05:30:00+02:00,100,0,0,100,77,0,0,0.33,1,25,1,45.3
2025-08-24T05:45:00+02:00,143,0,0,138,76,0,0,1.67,1,25,1,45.17
2025-08-24T06:00:00+02:00,209,0,0,202,76,0,0,1.67,1,25,1,45.03
