Date,Consumption,Production,Battery Charging,Battery Discharging,"Battery 
Fronius BYD HV - SOC 
","Inverter 
Fronius Symo - currentPower 
","Inverter 
Fronius Symo - activeDevice 
","Smart Meter 
Fronius Smart Meter 3P - currentPower 
","Smart Meter 
Fronius Smart Meter 3P - activeDevice 
","Car Charging 
OCPP Charger - currentPower 
","Car Charging 
OCPP Charger - activeDevice 
","Water Heater 
Ohmpilot - currentPower 
","Water Heater 
Ohmpilot - activeDevice 
","Water Heater 
Ohmpilot - currentWaterTemp 
"
2025-06-24T14:45:00+02:00,0,0,0,0,0,,,,,,,,,0
2025-06-24T15:00:00+02:00,0,0,0,0,0,,,,,,,,,0
2025-06-24T15:15:00+02:00,0,673,0,0,0,2020,1,0,0,0,0,0,0,0
2025-06-24T15:30:00+02:00,0,6239,0,0,0,6238.33,1,0,0,0,0,0,0,0
2025-06-24T15:45:00+02:00,486,6026,0,0,100,6025.5,1,-458,1,0,0,0,0,0
2025-06-24T16:00:00+02:00,1765,6344,10,0,100,6343.5,1,-4564.5,1,0,0,361,1,0
2025-06-24T16:15:00+02:00,4653,6198,10,45,100,6196.5,1,-1579.5,1,0,0,3553.5,1,0
2025-06-24T16:30:00+02:00,6296,6411,10,37,100,6410.67,1,-139,1,3601.67,1,1900.67,1,0
2025-06-24T16:45:00+02:00,4853,6158,11,0,99,6157,1,-1290,1,1656,1,2997,1,0
2025-06-24T17:00:00+02:00,4989,6027,11,0,99,6026,1,-1023.5,1,1,1,4676.5,1,0
2025-06-24T17:15:00+02:00,3773,5821,10,0,99,5821.33,1,-2034,1,0,0,3540.33,1,0
2025-06-24T17:30:00+02:00,5320,5897,10,0,99,5896.33,1,-563.33,1,0,0,4937,1,0
2025-06-24T17:45:00+02:00,908,5701,9,0,99,5700.33,1,-4779.33,1,0,0,397.67,1,0
2025-06-24T18:00:00+02:00,1060,5099,8,0,99,5098,1,-4026,1,0,0,266,1,0
2025-06-24T18:15:00+02:00,1270,5254,7,0,99,5253,1,-3972.33,1,0,0,831.33,1,117.7
2025-06-24T18:30:00+02:00,1390,4954,7,0,99,4953.67,1,-3553.67,1,0,0,808,1,111.43
