Datum und Uhrzeit;Energie | PowerMeter;Energie | Symo GEN24 10.0 Plus;Energie | Wattpilot_33051782;Direkt verbraucht;Energie aus Batterie bezogen;Energie in Batterie gespeichert;Energie ins Netz eingespeist;Energie vom Netz bezogen;PV Produktion;Verbrauch;Energie vom Netz an Wattpilot;Energie von Batterie an Wattpilot;Energie von PV an Wattpilot;Batteriespannung;Batteriestrom;Batterietemperatur minimum;State of Charge;Eingestellte Stromstärke | PowerMeter;Eingestellte Stromstärke | Symo GEN24 10.0 Plus;Eingestellte Stromstärke | Wattpilot_33051782;Energie Wattpilot | PowerMeter;Energie Wattpilot | Symo GEN24 10.0 Plus;Energie Wattpilot | Wattpilot_33051782;Energie Ohmpilot;Temperatur Ohmpilot;Energie ins Netz eingespeist | PowerMeter;Energie ins Netz eingespeist | Symo GEN24 10.0 Plus;Energie ins Netz eingespeist | Wattpilot_33051782;Energie vom Netz bezogen | PowerMeter;Energie vom Netz bezogen | Symo GEN24 10.0 Plus;Energie vom Netz bezogen | Wattpilot_33051782;Unnamed: 32
2024-07-01 00:00:00;;24,78038;;0,0;27,86;0,0;0,0;0,0;0,0;27,86;0,0;0,0;0,0;424,3;-   0,70   ;18,0;72,6;;;16,0;;;0,0;0,0;57,2;0,0;;;0,0;;;
2024-07-01 00:05:00;;27,41556;;0,0;28,57;0,0;0,0;1,99;0,0;30,56;0,0;0,0;0,0;423,9;-   0,70   ;18,0;72,3;;;16,0;;;0,0;0,0;57,2;2,0;;;2,0;;;
2024-07-01 00:10:00;;26,62066;;0,0;27,83;0,0;0,0;1,99;0,0;29,81;0,0;0,0;0,0;423,9;-   1,10   ;18,0;72,0;;;16,0;;;0,0;0,0;57,1;2,0;;;2,0;;;
2024-07-01 00:15:00;;30,46356;;0,0;32,66;0,0;0,0;1,0;0,0;33,66;0,0;0,0;0,0;423,9;-   0,80   ;18,0;71,6;;;16,0;;;0,0;0,0;57,1;1,0;;;1,0;;;
2024-07-01 00:20:00;;32,05347;;0,0;33,35;0,0;0,0;1,99;0,0;35,34;0,0;0,0;0,0;423,5;-   0,90   ;18,0;71,2;;;16,0;;;0,0;0,0;57,1;2,0;;;2,0;;;
2024-07-01 00:25:00;;32,48463;;0,0;34,7;0,0;0,0;1,99;0,0;36,69;0,0;0,0;0,0;423,5;-   0,50   ;18,0;70,9;;;16,0;;;0,0;0,0;57,1;1,0;;;2,0;;;
2024-07-01 00:30:00;;34,80727;;0,0;37,07;0,0;0,0;2,0;0,0;39,07;0,0;0,0;0,0;423,5;-   0,90   ;18,0;70,5;;;16,0;;;0,0;0,0;57,1;1,0;;;2,0;;;
2024-07-01 00:35:00;;31,8842;;0,0;33,1;0,0;0,0;1,99;0,0;35,09;0,0;0,0;0,0;423,5;-   0,80   ;18,0;70,1;;;16,0;;;0,0;0,0;57,1;2,0;;;2,0;;;
2024-07-01 00:40:00;;26,91229;;0,0;30,06;0,0;0,0;0,0;0,0;30,06;0,0;0,0;0,0;423,5;-   0,60   ;18,0;69,8;;;16,0;;;0,0;0,0;57,1;0,0;;;0,0;;;
2024-07-01 00:45:00;;13,13504;;0,0;14,39;0,0;0,0;6,98;0,0;21,37;0,0;0,0;0,0;424,3;-   0,50   ;18,0;69,7;;;16,0;;;0,0;0,0;57,1;1,0;;;7,0;;;
