Zeitstempel,preis (ct/kWh)
2025-07-01T00:00:00,11.128
2025-07-01T00:15:00,11.128
2025-07-01T00:30:00,11.128
2025-07-01T00:45:00,11.128
2025-07-01T01:00:00,9.529
2025-07-01T01:15:00,9.529
2025-07-01T01:30:00,9.529
2025-07-01T01:45:00,9.529
2025-07-01T02:00:00,8.91
2025-07-01T02:15:00,8.91
2025-07-01T02:30:00,8.91
2025-07-01T02:45:00,8.91
2025-07-01T03:00:00,8.808
2025-07-01T03:15:00,8.808
2025-07-01T03:30:00,8.808
2025-07-01T03:45:00,8.808
2025-07-01T04:00:00,9.001000000000001
2025-07-01T04:15:00,9.001000000000001
2025-07-01T04:30:00,9.001000000000001
2025-07-01T04:45:00,9.001000000000001
2025-07-01T05:00:00,9.65
2025-07-01T05:15:00,9.65
2025-07-01T05:30:00,9.65
2025-07-01T05:45:00,9.65
2025-07-01T06:00:00,11.497
2025-07-01T06:15:00,11.497
2025-07-01T06:30:00,11.497
2025-07-01T06:45:00,11.497
2025-07-01T07:00:00,12.011
2025-07-01T07:15:00,12.011
2025-07-01T07:30:00,12.011
2025-07-01T07:45:00,12.011
2025-07-01T08:00:00,11.472
2025-07-01T08:15:00,11.472
2025-07-01T08:30:00,11.472
2025-07-01T08:45:00,11.472
2025-07-01T09:00:00,9.119
2025-07-01T09:15:00,9.119
2025-07-01T09:30:00,9.119
2025-07-01T09:45:00,9.119
2025-07-01T10:00:00,8.431000000000001
2025-07-01T10:15:00,8.431000000000001
2025-07-01T10:30:00,8.431000000000001
2025-07-01T10:45:00,8.431000000000001
2025-07-01T11:00:00,6.956
2025-07-01T11:15:00,6.956
2025-07-01T11:30:00,6.956
2025-07-01T11:45:00,6.956
2025-07-01T12:00:00,4.454
2025-07-01T12:15:00,4.454
2025-07-01T12:30:00,4.454
2025-07-01T12:45:00,4.454
2025-07-01T13:00:00,4.247
2025-07-01T13:15:00,4.247
2025-07-01T13:30:00,4.247
2025-07-01T13:45:00,4.247
2025-07-01T14:00:00,5.765
2025-07-01T14:15:00,5.765
2025-07-01T14:30:00,5.765
2025-07-01T14:45:00,5.765
2025-07-01T15:00:00,7.814
2025-07-01T15:15:00,7.814
2025-07-01T15:30:00,7.814
2025-07-01T15:45:00,7.814
2025-07-01T16:00:00,9.08
2025-07-01T16:15:00,9.08
2025-07-01T16:30:00,9.08
2025-07-01T16:45:00,9.08
2025-07-01T17:00:00,10.202
2025-07-01T17:15:00,10.202
2025-07-01T17:30:00,10.202
2025-07-01T17:45:00,10.202
2025-07-01T18:00:00,15.208000000000002
2025-07-01T18:15:00,15.208000000000002
2025-07-01T18:30:00,15.208000000000002
2025-07-01T18:45:00,15.208000000000002
2025-07-01T19:00:00,30.726999999999997
2025-07-01T19:15:00,30.726999999999997
2025-07-01T19:30:00,30.726999999999997
2025-07-01T19:45:00,30.726999999999997
2025-07-01T20:00:00,47.619
2025-07-01T20:15:00,47.619
2025-07-01T20:30:00,47.619
2025-07-01T20:45:00,47.619
2025-07-01T21:00:00,40.681
2025-07-01T21:15:00,40.681
2025-07-01T21:30:00,40.681
2025-07-01T21:45:00,40.681
2025-07-01T22:00:00,25.000999999999998
2025-07-01T22:15:00,25.000999999999998
2025-07-01T22:30:00,25.000999999999998
2025-07-01T22:45:00,25.000999999999998
2025-07-01T23:00:00,14.765
2025-07-01T23:15:00,14.765
2025-07-01T23:30:00,14.765
2025-07-01T23:45:00,14.765
2025-07-02T00:00:00,11.929
2025-07-02T00:15:00,11.929
2025-07-02T00:30:00,11.929
2025-07-02T00:45:00,11.929
2025-07-02T01:00:00,10.27
2025-07-02T01:15:00,10.27
2025-07-02T01:30:00,10.27
2025-07-02T01:45:00,10.27
2025-07-02T02:00:00,9.254000000000001
